[17:07:23.280] : [CorpCard2Json] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171220_10962289C06.001], info_cd=[C06], log_dir=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\log]
[17:07:23.756] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.758] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.760] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.761] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.763] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.765] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.767] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.768] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.770] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.771] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.773] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.776] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.778] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.780] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.782] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.784] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.790] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.792] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.794] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.796] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.798] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.800] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.802] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.805] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.807] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.810] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
