[15:40:49.472] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.002], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:04:53.110] : curr tm=[2017/12/07 16:04:53]
[16:04:53.110] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[299], ApprNo=[76648750]
[16:04:53.110] : curr tm=[2017/12/07 16:04:53]
[16:04:53.126] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[300], ApprNo=[75979528]
[16:04:53.126] : curr tm=[2017/12/07 16:04:53]
[16:04:53.126] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[301], ApprNo=[73335644]
[16:04:53.126] : curr tm=[2017/12/07 16:04:53]
[16:04:53.126] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[302], ApprNo=[71883680]
[16:04:53.142] : curr tm=[2017/12/07 16:04:53]
[16:04:53.142] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[303], ApprNo=[60695641]
[16:04:53.142] : curr tm=[2017/12/07 16:04:53]
