[15:45:31.498] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171204_10962533C04.001], info_cd=[C04], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:45:33.576] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002018], ApprNo=[1428103111]
[15:45:33.592] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002019], ApprNo=[1428103111]
[15:45:33.608] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002020], ApprNo=[1428103111]
[15:45:33.623] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002021], ApprNo=[1428103111]
[15:45:33.639] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002022], ApprNo=[1428103111]
[15:45:33.654] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002023], ApprNo=[1428103111]
[15:45:33.670] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002024], ApprNo=[1428103111]
[15:45:33.686] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002025], ApprNo=[1428103111]
[15:45:33.701] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002026], ApprNo=[1428103111]
[15:45:33.717] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002027], ApprNo=[1428103111]
[15:45:33.733] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002028], ApprNo=[1428103111]
